Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Ethiopia,20.25580975,16.82037826,13.82388161,13.375378,17.11571189,16.88686018,18.24625001,17.30840719,20.35391426,25.84222226,25.59829459,22.43806725,24.86954558,27.04148114,23.14907361,22.89002928,22.06701617,20.52142422,18.75603072,17.11277509,18.4832356,18.22813019,16.64824062,17.75578891,17.48374454,17.32573465,18.2246779,17.98671978,16.09952697,15.32161368,15.0050378,14.99229329,15.89674375,16.66397217,17.07364988,17.0678269
Finland,47.08652236,55.77110826,60.81506657,63.58721772,62.1365376,59.97422602,58.42892548,54.89183896,51.31895679,49.91411642,46.90930945,46.22479741,47.44150964,48.27379423,48.1852883,49.18542447,48.26168181,46.67721519,47.87532494,54.09112668,53.90686871,53.6576127,55.4405408,56.82333191,57.27680923,56.49170944,55.65746283,53.73451421,53.38437572,53.19903391,59.93729619,57.59609085,55.81458239,55.08770822,54.53993505,54.29286402
France,50.13222014,51.27163474,52.59124142,55.2044927,54.62530946,54.80881543,54.88099174,54.53059576,52.92448532,52.63008753,51.65228918,51.71830711,52.79523173,53.2705042,52.98485522,53.29409,52.875712,52.56552108,53.29630894,57.15185016,56.88178504,56.29068452,57.10727287,57.22781481,57.21360242,56.79757209,56.66029133,56.47898654,55.66337257,55.56282949,63.08969853,59.09400216,57.28158408,56.18997059,55.88537943,55.75494717
Germany,no data,46.46758734,47.3170746,48.22975744,48.27689869,55.11704256,49.41906338,48.56834,48.14527258,48.21207295,47.75775334,47.4162501,47.87154477,48.30419114,46.79149798,46.82079788,45.23529609,43.39773159,44.19950599,48.20033282,48.14163157,45.23842053,44.9179874,44.94438615,44.30302347,44.14109537,44.35372631,44.19695938,44.45824557,45.17446833,53.91411899,49.01910483,45.90884938,45.90558521,45.63849123,45.67072625
Ghana,7.025380958,7.56217222,9.863518528,13.13705742,13.87004012,13.99298543,13.37707118,12.90595656,12.7311151,11.98666883,12.90476202,14.78315079,11.4262316,13.02162183,14.77171534,13.86292218,15.43727152,18.04236362,17.78843899,17.65958691,20.01113286,19.60017495,22.11280761,21.7087807,21.40486122,18.94611232,20.30837102,18.00190814,21.45074118,21.07882368,28.25723295,22.02181961,21.67877122,22.19339,21.69872126,20.82601146
Greece,37.96845979,34.70600572,36.39345731,38.08987698,36.41131019,45.99952721,45.08283432,43.70597671,45.14900649,46.15401864,46.4257648,45.98604413,45.79685674,46.59176658,47.61454913,45.56167876,45.11663347,47.06933969,50.84548948,54.08446791,52.51049635,54.12961469,52.81584067,51.64568734,50.2725909,50.67528687,48.99729015,47.3967573,46.91902076,46.19750768,57.29740176,51.29225064,50.13986403,49.45049228,48.26719774,46.71767687
Guinea,18.71717189,16.29161412,13.86528439,13.29615677,12.62823886,12.69705543,11.97917329,12.72433261,10.5953668,11.62177864,12.65714428,15.00291923,14.56252446,14.7707471,13.01888289,11.00850072,13.21525221,8.673820807,10.08513345,16.24984495,20.51065782,16.0414822,20.04096767,18.63887078,20.17811156,21.70178797,16.13662662,17.32598367,15.60838987,14.59356944,17.30143139,17.95322106,17.99535128,18.23098136,18.88958188,19.03493176
Haiti,no data,no data,no data,no data,no data,no data,no data,9.402121327,9.303321454,11.90732786,10.76481231,10.74973988,11.58747274,12.76013864,12.58775523,14.58145171,15.28713604,18.02585873,17.94708575,20.3446927,22.63122119,24.45302295,28.55552266,27.95898514,25.23489802,21.67265678,18.68888755,17.69990244,18.98695981,14.43114057,19.6897991,21.90820046,18.64902847,19.79196635,20.49094044,21.15008949
Honduras,19.38284984,20.77609953,21.64496241,24.53133892,19.0288062,17.2126297,18.6658941,19.39309113,19.41920977,23.3205278,22.09884442,25.06578448,26.8087552,26.44129911,25.54397263,23.60958723,24.39370363,24.44874016,26.40903463,28.35164224,26.46322181,25.91185476,26.35606747,29.5756069,27.63790656,26.02189018,27.38256279,26.89915623,26.26294596,25.71882011,28.62443969,29.46532244,28.01981317,28.17604927,28.35401799,28.41107561
Hong Kong SAR,13.83870203,12.80905372,13.54350123,15.30925036,15.37750542,16.0673425,14.37202535,14.13537454,18.54805488,17.07695672,17.45661701,18.24304081,18.50658691,19.56065432,18.20866369,16.19996713,15.00655581,13.93141323,18.79084311,17.28623897,16.59298594,18.62507888,18.29390069,20.03516538,17.25272954,18.03642108,18.25246565,17.3600249,18.39194406,20.92031698,28.54680852,26.31594518,21.61480736,21.54068119,21.54794168,21.54247339
Hungary,no data,no data,no data,no data,no data,55.10645709,50.828208,49.40624094,50.67525547,48.65749188,47.15789161,47.16386448,50.88073157,48.95401653,48.48180215,49.35771932,51.28026679,49.74813988,48.42569441,50.26208069,49.2000165,49.35010965,49.36901192,50.1636298,50.21496461,50.64040958,47.20181993,46.97345888,46.6697792,46.05071851,52.08971822,48.81152978,48.41800708,46.669224,45.29180157,44.9170613
